disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Apple Apple Scab,"• Remove & destroy fallen leaves/twigs to reduce inoculum
• Prune for airflow; avoid overhead irrigation
• Weekly sprays during cool/wet spring: Neem oil (0.5–1%), Potassium bicarbonate (5–10 g/L), Wettable sulfur (as per label)
• Use scab-resistant cultivars where possible","• Preventive fungicides at tight cluster → petal fall → first cover: Myclobutanil (DMI), Difenoconazole, Captan, Mancozeb (rotate FRAC groups)
• Curative window (within 72 h of infection) with DMIs; follow label PHI/REI","• Plant on sunny, well-drained sites; use resistant varieties
• Sanitation: rake leaves post-harvest; compost hot
• Space trees; keep canopy open; drip irrigate
• Spring monitoring and timely sprays (forecast models help)","Olive-brown, velvety leaf spots (young leaves); leaf distortion/yellowing; scabby dark lesions on fruit causing cracking and deformity.","High risk in **cool (10–20 °C), wet springs**; extended leaf wetness after rain/drizzle favors infection.","Baseline per mature tree (adjust by soil test): Split N 60–80 g as elemental N in spring + early summer; P and K per soil test (typ. 30–40 g P₂O₅, 60–80 g K₂O). Avoid excess N during high scab pressure to limit tender growth.","Rotate FRAC groups to avoid resistance; avoid sulfur on oil-treated foliage in hot weather. Remove mummified fruit over winter."
Apple Black Rot,"• Remove mummified fruit (‘mummies’) and cankers; prune 10–15 cm below canker margin
• Sanitize prunings outside the orchard
• Improve tree vigor: mulch, irrigation at root zone
• Copper soap / fixed copper during dormant or high pressure","• Bloom to summer cover sprays: Captan, Mancozeb, Ziram, Thiophanate-methyl (rotate)
• For cankers: pruning is primary; chemicals only protect new tissues","• Avoid injuries (hail, pruning wounds); disinfect tools
• Remove dead wood & fire blight strikes (sources of Botryosphaeria)
• Balanced fertilization; avoid drought stress; maintain airflow","Concentric brown rings on fruit (‘bull’s-eye’ rot); leaf lesions with purple margins & tan centers; limb/trunk cankers with cracked bark.","Greater in **warm, humid** conditions; stress/drought predispose trees; infection peaks late spring–summer.","Maintain moderate N (not excessive). Potassium sufficiency reduces fruit disorders. Apply 2–4 cm mulch; irrigate during dry spells.","Scout after storms for fresh wounds; promptly prune out cankers in dry weather."
Apple Cedar Apple Rust,"• Remove nearby **juniper/red-cedar** hosts within ~50–300 m if feasible
• Sulfur or lime-sulfur during primary infection period (pink → petal fall)
• Maintain open canopy and drip irrigation","• Target primary infections in spring: Myclobutanil, Difenoconazole, Tebuconazole; Strobilurins (Trifloxystrobin) as rotation; Captan for cover sprays (mix/rotate per label)","• Separate new plantings from junipers
• Monitor cedar galls (orange ‘jelly’ horns after rain): initiate protection before/at horn emergence
• Use resistant apple cultivars when possible","Bright orange/yellow leaf spots with red halo; tube-like lesions on leaf undersides; fruit may show small rusty lesions; defoliation under high pressure.","High in **wet, windy spring** when cedar galls release spores; infection at 10–24 °C with leaf wetness.","Standard apple program; avoid lush N during primary rust season; maintain Ca and K for fruit quality.","Time sprays to infection periods; remove cedar galls in winter if removal of hosts isn’t possible."
Apple Healthy,"• No treatment required. Maintain good hygiene and IPM monitoring.
• Encourage beneficials; mulch; regular pruning for airflow.","—","• Keep canopy open; drip irrigate; sanitize tools; remove fallen leaves/fruit
• Quarantine new plants; monitor weekly during spring.","Leaves uniform green; no lesions; fruit clean; shoots healthy.","Normal seasonal risk only; continue monitoring after rain events.","Follow soil test. Split N in spring/early summer; maintain K and Ca. Avoid over-fertilizing N which can invite foliar diseases.","Record a ‘healthy’ baseline photo for reference; continue routine scouting."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Blueberry Healthy,"• Maintain mulched soil (pine bark or sawdust) to conserve moisture and suppress weeds.
• Apply composted organic matter yearly.
• Encourage mycorrhizal fungi with low-disturbance roots and limited tillage.
• Maintain soil pH around 4.5–5.5 for optimal nutrient uptake.","—","• Ensure proper drainage; blueberries dislike waterlogging.
• Use drip irrigation, not overhead sprinklers.
• Prune annually to remove old canes and improve light penetration.
• Avoid mechanical injury to stems and roots.","Healthy foliage: firm, waxy green leaves without spots or necrosis. Stems woody and firm; berries uniform in color and size.","Blueberries prefer **cool to moderate climates** (18–25 °C) with high humidity. Frost during flowering or extreme heat (>35 °C) can damage flowers or fruit.","For mature bushes: 40–60 kg/ha N (split early spring & post-harvest), 30 kg/ha P₂O₅, 60 kg/ha K₂O. Apply acidifying fertilizers such as ammonium sulfate.","Monitor leaf color for nutrient deficiency; pale leaves indicate high soil pH. Test soil every 2 years and mulch with acidic material."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Cherry (Including Sour) Powdery Mildew,"• Prune for airflow; remove water sprouts and dense inner shoots.
• Avoid overhead irrigation; irrigate at the root zone.
• Weekly organic sprays during pressure: Potassium bicarbonate (5–10 g/L), Wettable sulfur (per label), Neem oil 0.5–1% (do not mix with sulfur; separate by 2–3 weeks).
• Remove and destroy infected leaves/twigs; sanitize tools.","• Apply at first signs or when weather models indicate risk: Myclobutanil / Tebuconazole / Difenoconazole (rotate FRAC 3); Trifloxystrobin / Azoxystrobin (FRAC 11) in rotation; Wettable sulfur or Captan for cover sprays where allowed.
• Strictly rotate FRAC groups to slow resistance; respect PHI/REI.","• Plant in sunny, well-ventilated sites; train canopy open (central leader or open center).
• Space trees adequately; use drip lines with mulch to prevent splash.
• Remove leaf litter post-harvest; avoid excess nitrogen that drives tender growth.","White powdery growth on young leaves, fruit pedicels, and shoots; leaf curling or distortion; premature leaf drop; russeting/scarring on fruit under severe pressure.","Greatest in **warm (18–28 °C), dry days + cool nights** with high humidity; infection does **not** require free water; dense shaded canopies increase risk.","Balanced nutrition; avoid high N flushes mid-summer. Typical annual program per mature tree (adjust via soil test): N 40–60 g as elemental N split spring/early summer; maintain K & Ca; foliar Ca can help fruit quality.","Do not apply oil within ~2–3 weeks of sulfur to avoid phytotoxicity. Remove highly susceptible wild hosts nearby if present."
Cherry (Including Sour) Healthy,"• No treatment required; keep regular IPM scouting.
• Maintain mulch, drip irrigation, and annual pruning for light and airflow.","—","• Sanitize tools; remove fallen leaves/fruit; thin fruit clusters to reduce humidity.
• Quarantine new plants; choose locally adapted cultivars/rootstocks.","Uniform green leaves, no white powder, no chlorotic or necrotic lesions; shoots and fruit sound.","Normal seasonal risk; monitor after warm dry spells with cool nights (powdery mildew windows).","Follow soil test: modest N in spring; avoid late heavy N. Maintain K and Ca for fruit firmness and cracking tolerance.","Capture a ‘healthy’ photo reference each season for comparison; continue weekly scouting in spring–summer."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Corn (Maize) Cercospora Leaf Spot,"• Rotate crops with non-hosts (soybean, wheat, sorghum).
• Incorporate crop residues deeply after harvest to reduce inoculum.
• Spray Neem oil (0.5–1%), Trichoderma bio-fungus, or compost tea extract weekly in humid conditions.
• Use resistant hybrids where possible.","• Spray preventive fungicides at early tassel stage: Mancozeb (FRAC M03), Azoxystrobin, Pyraclostrobin, or Propiconazole (rotate FRAC 3/11/M).
• Apply at first sign of lesions; 10–14-day interval if weather favors infection.","• Avoid dense planting; ensure airflow and row orientation with wind direction.
• Avoid continuous maize cropping; manage residues; maintain K & Ca sufficiency.","Long narrow gray or tan rectangular lesions parallel to veins; may coalesce to blight large areas; premature leaf death reduces yield.","Favored by **warm (25–30 °C)**, humid conditions with prolonged leaf wetness; dense canopy or late irrigation favors disease.","N ~150–200 kg/ha (split basal + topdress at 30 & 60 days); maintain adequate K to improve tolerance. Avoid over-N as it delays maturity and favors leaf diseases.","Scout weekly from V8 stage; use forecast models for gray leaf spot severity; rotate fungicide FRAC groups yearly."
Corn (Maize) Common Rust,"• Grow resistant hybrids.
• Encourage airflow with proper spacing.
• Apply Neem oil 1% or wettable sulfur 0.3% at first appearance of pustules (repeat every 10–12 days if needed).","• Triazoles (Propiconazole, Tebuconazole) and Strobilurins (Azoxystrobin, Pyraclostrobin) effective if applied at early pustule stage.
• Mancozeb as protectant before infection.","• Avoid late sowing in high humidity areas.
• Remove volunteer corn and alternate host weeds.
• Rotate crops annually.","Small round reddish-brown pustules scattered on both leaf surfaces; turn black at maturity; severe infection causes premature drying.","Optimum between **15–25 °C** with high humidity and frequent rains; wind disperses spores quickly.","Balanced fertilization; maintain leaf K >1.5% dry matter to enhance tolerance; avoid excessive N in humid seasons.","Scout from V6 stage; apply fungicide at first 5% pustule appearance; use resistant hybrids in endemic areas."
Corn (Maize) Northern Leaf Blight,"• Residue management: bury crop debris post-harvest.
• Neem oil 1%, Trichoderma bio-control, and cow-urine extract sprays can suppress early lesions.
• Use resistant varieties if available.","• Spray at disease onset: Mancozeb (M03), Chlorothalonil (M05) or Azoxystrobin/Propiconazole (rotate FRAC 11/3).
• Repeat 10–14 days if wet weather persists.","• Avoid water stress; maintain K and balanced N.
• Crop rotation with legumes or small grains reduces inoculum.
• Space plants adequately for airflow.","Large cigar-shaped grayish-green lesions, later brown with tan centers; start on lower leaves and move upward; severe infections cause lodging and yield loss.","Favored by **moderate (18–27 °C)** temps with long dew periods; high humidity (>90%).","N 150–200 kg/ha (split doses), P₂O₅ 60–80 kg/ha, K₂O 80–100 kg/ha. Maintain Ca/Mg balance; foliar K beneficial under stress.","Scout from V8–VT; hybrid selection is key; rotate and till after harvest to reduce inoculum."
Corn (Maize) Healthy,"• Maintain clean field borders; rotate crops; use certified seed.
• Apply bio-fertilizers (Azospirillum, Azotobacter) and compost.
• Monitor weekly for leaf spots.","—","• Practice balanced fertilization; maintain weed control.
• Irrigate early morning; avoid leaf wetness overnight.","Uniform green leaves; no lesions or rust pustules; healthy tassel and ear.","Normal; monitor closely after prolonged wet/humid weather.","Follow soil test; split N (40% basal, 40% topdress at V8, 20% at tassel); ensure Zn & K sufficiency.","Healthy reference images should be saved each season to compare later; maintain IPM scouting log."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Grape Black Rot,"• Remove mummified fruit and pruned canes from vineyard floor before bud break.
• Spray Neem oil 1% or Copper oxychloride (organic-approved) at pre-bloom, post-bloom, and 2–3 weeks later.
• Sulfur dust (when dry) or Bacillus subtilis biofungicide can also help.
• Maintain open canopy; control weeds under vines.","• Apply protective fungicides beginning at 5–8 leaf stage: Mancozeb (M03), Captan (M04), or Myclobutanil / Tebuconazole (FRAC 3) rotated with Strobilurins (Azoxystrobin, Pyraclostrobin).
• Maintain 10–14-day spray interval under wet/humid conditions.","• Prune properly to improve airflow and sunlight.
• Avoid overhead irrigation; drip is preferred.
• Destroy fallen berries and leaves.
• Use resistant cultivars where available.","Brown circular leaf spots with dark borders; black shriveled berries (‘mummies’) remain attached to clusters; infected shoots turn black with sunken lesions.","Favored by **warm (24–30 °C)**, humid weather and frequent rainfall; long wet periods during flowering and fruit set are critical infection windows.","Apply N 80–100 kg/ha, P₂O₅ 60 kg/ha, K₂O 80 kg/ha; emphasize K for disease resistance; avoid over-N which increases canopy density.","Critical period: from pre-bloom to pea-size berries; maintain protective coverage throughout."
Grape Esca (Black Measles),"• Remove infected vines; avoid pruning wounds in wet weather.
• Apply Trichoderma-based wound protectant after pruning.
• Avoid drought stress; irrigate deeply but infrequently.
• Use composted organic matter and humic acids to support vine immunity.","• No curative fungicide exists; preventive pruning-wound paints with benzimidazoles (carbendazim) or tebuconazole can reduce infection risk.","• Avoid mechanical injury and large pruning wounds.
• Maintain balanced canopy; remove dead wood.
• Ensure drip irrigation, not flooding.","Tiger-striped interveinal chlorosis on leaves; black streaking of wood in cross-section; berries shrivel (‘black measles’); canopy decline mid-summer.","Worse in **hot, dry summers** following spring rain; water stress accelerates symptoms.","Maintain Ca and micronutrients (Zn, B, Fe); avoid excess N; apply organic compost post-harvest; foliar K₂SO₄ aids recovery.","Esca is chronic—mark infected vines for removal and avoid propagation from symptomatic wood."
Grape Leaf Blight (Isariopsis Leaf Spot),"• Spray Neem oil 1% or Pseudomonas fluorescens bio-fungicide every 7–10 days once spots appear.
• Remove lower infected leaves to improve airflow.
• Maintain weed-free vineyard floor; drip irrigation only.","• Spray Mancozeb or Chlorothalonil (contact) plus systemic fungicide (Tebuconazole or Difenoconazole) alternately every 10–12 days in humid conditions.","• Avoid dense canopy; train shoots on trellis properly.
• Prune to open center; collect and destroy fallen leaves.","Irregular brown or dark gray spots on leaves with yellow halo; severe infections cause defoliation and reduce yield.","Favored by **humid (25–32 °C)** conditions with frequent dew; high rainfall seasons promote disease.","Balanced nutrition; maintain soil pH 6–7; adequate K and Mg improve tolerance.","Combine spray schedule with downy mildew programs; avoid excessive copper accumulation in soil."
Grape Healthy,"• Maintain canopy open; mulch with compost.
• Regularly apply organic manures and biofertilizers.
• Follow sanitation pruning; monitor weekly.","—","• Use resistant cultivars; maintain drip irrigation and balanced fertilization.","Glossy green leaves with no lesions or yellowing; healthy bunch formation; no cane streaks.","Normal; monitor after heavy rains or drought stress.","Fertilize based on soil test; maintain K:Ca ratio ~1:1; micro-nutrient foliar sprays twice a season.","Maintain IPM diary and healthy photo references; continue scouting even when healthy."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Orange Haunglongbing (Citrus Greening),"• **Source control & hygiene**: Plant only certified HLB-free nursery stock; rogue (remove) trees that repeatedly test positive or show strong HLB symptoms to reduce inoculum.
• **Vector (ACP) suppression – organic tools**: Weekly/bi-weekly sprays of horticultural oil 1–2% or Neem oil 0.5–1%; Kaolin clay film (per label) to deter feeding; yellow sticky cards to monitor psyllid activity; reflective mulches in young groves; inter-row flowering strips to boost natural enemies (e.g., *Tamarixia radiata*).
• **Cultural**: Sanitation of prunings; remove volunteer citrus/Murraya nearby; install windbreaks or screenhouses for nurseries/young blocks.
• **Tree support**: Consistent irrigation (avoid stress), micronutrient foliar feeds (Zn, Mn, B), and canopy thinning for light/air.","• **Vector control (follow local labels & rotations)**: Systemic neonicotinoids at approved timings for Asian citrus psyllid (ACP), e.g., Imidacloprid, Thiamethoxam, Dinotefuran; rotate modes of action to slow resistance. Contact/ingestion options include Spinetoram, Cyantraniliprole, Abamectin (check crop/PHI/BEEs).
• **Antibiotics**: In some regions, **oxytetracycline trunk injection** is allowed under specific regulatory programs; use only where legal, with licensed applicators, and observe all label restrictions.
• **Programs**: Coordinate **area-wide** sprays with neighbors for best impact; integrate oil/kaolin between systemic windows.","• Buy certified HLB-free plants.
• Monitor psyllids with sticky cards and young flush scouting; time sprays to new flush.
• Remove alternate hosts (ornamental Murraya/Orange Jasmine) near groves.
• Disinfect tools; avoid moving infected plant material.
• Maintain irrigation and nutrition to reduce stress.","Leaves with **asymmetric blotchy mottle** (not uniform like nutrient deficiency), corky/raised midrib, yellow shoots; small **lopsided fruit** with aborted seeds, off-flavor/bitterness; premature fruit drop; twig dieback.","Highest risk in **tropical/subtropical** zones with active ACP populations; warm temperatures and frequent leaf flush favor vector and disease spread; drought or nutrient stress worsens symptoms.","Adopt a **nutrition program** to sustain yields on affected trees: split N 150–220 kg/ha/yr (soil & foliar as needed), K₂O 150–220 kg/ha, Ca/Mg per soil test; frequent **foliar micronutrients** (Zn 0.3–0.5%, Mn 0.3–0.5%, B 0.1%) during flush; keep soil pH ~6.0–6.5; avoid prolonged deficiency or excess N that pushes very tender flush during peak ACP flights.","**No cure** exists; long-term management relies on clean planting material + rigorous vector suppression + nutrition. Coordinate with extension guidelines. Protect pollinators: apply insecticides when bees are not active; obey PHI/REI and rotate IRAC groups."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Peach Bacterial Spot,"• Plant **resistant cultivars** (e.g., ‘Elberta’, ‘Harvester’) when available.
• Prune to open the canopy and promote air flow.
• Spray **copper hydroxide** (0.2–0.3%) or **Bordeaux mixture** at bud swell, shuck split, and post-harvest.
• Apply **Neem oil 0.5%** or **Pseudomonas fluorescens bio-bactericide** weekly during humid weather.
• Avoid excessive nitrogen that promotes tender, infection-prone growth.","• **Copper-based bactericides** (Copper oxychloride, Copper hydroxide, or Kocide formulations) before and after bloom.
• **Oxytetracycline** sprays (100–200 ppm) may be used during high-risk conditions where permitted.
• Always alternate copper and antibiotic sprays to minimize resistance and phytotoxicity.","• Avoid planting in low-lying areas with poor drainage.
• Remove mummified fruit and infected twigs during pruning.
• Sanitize tools and avoid pruning when trees are wet.
• Avoid overhead irrigation; use drip lines instead.","Angular brown to black lesions on leaves, often shot-hole appearance; fruit lesions are small, dark, sunken pits with cracking; twig cankers and premature fruit drop in severe cases.","Favored by **warm (25–30 °C)**, humid conditions with frequent rainfall and wind-blown rain; high N fertilization and dense canopies increase disease.","Balanced fertilization: N 80–100 kg/ha, P₂O₅ 60 kg/ha, K₂O 80 kg/ha; avoid excessive N mid-season. Apply foliar Ca and B for fruit firmness.","Avoid copper sprays under hot, dry (>32 °C) weather to prevent leaf burn. Monitor copper residues if repeated applications are used."
Peach Healthy,"• Maintain pruning and good airflow.
• Apply organic mulch and compost each year.
• Use biofertilizers (Azospirillum, Trichoderma) for root health.","—","• Prune dead or crossing branches post-harvest.
• Maintain drip irrigation and weed-free basins.
• Sanitize pruning tools between trees.","Healthy green leaves, smooth fruit surface, no pitting or dark lesions.","Normal; monitor closely after heavy rain or high humidity.","Maintain N 80 kg/ha split spring + fruit-set; adequate K for sweetness and firmness; foliar Ca improves shelf life.","Check leaf samples for Zn and Fe deficiencies; maintain pH 6–6.5."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
