disease_name,organic_medicines,chemical_medicines
Apple Apple Scab,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+emulsified), Potassium Bicarbonate (https://www.amazon.in/s?k=potassium+bicarbonate+fungicide), Wettable Sulfur (https://www.amazon.in/s?k=wettable+sulfur)","Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Difenoconazole (https://www.amazon.in/s?k=difenoconazole), Captan (https://www.amazon.in/s?k=captan+fungicide), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Apple Black Rot,"Copper Soap (https://www.amazon.in/s?k=copper+soap+fungicide), Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma)","Thiophanate-methyl (https://www.amazon.in/s?k=thiophanate+methyl), Captan (https://www.amazon.in/s?k=captan+fungicide), Ziram (https://www.google.com/search?q=ziram+fungicide), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Apple Cedar Apple Rust,"Lime-Sulfur (https://www.google.com/search?q=lime+sulfur+spray), Wettable Sulfur (https://www.amazon.in/s?k=wettable+sulfur)","Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Difenoconazole (https://www.amazon.in/s?k=difenoconazole), Trifloxystrobin (https://www.amazon.in/s?k=trifloxystrobin)"
Apple Healthy,"—","—"


disease_name,organic_medicines,chemical_medicines
Blueberry Healthy,"Seaweed Extract Foliar Spray (https://www.amazon.in/s?k=seaweed+extract+plant+growth), Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Compost Tea (https://www.google.com/search?q=compost+tea+for+plants)","—"


disease_name,organic_medicines,chemical_medicines
Cherry (Including Sour) Powdery Mildew,"Potassium Bicarbonate (https://www.amazon.in/s?k=potassium+bicarbonate+fungicide), Wettable Sulfur (https://www.amazon.in/s?k=wettable+sulfur), Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants)","Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Difenoconazole (https://www.amazon.in/s?k=difenoconazole), Trifloxystrobin (https://www.amazon.in/s?k=trifloxystrobin), Captan (https://www.amazon.in/s?k=captan+fungicide)"
Cherry (Including Sour) Healthy,"—","—"


disease_name,organic_medicines,chemical_medicines
Corn (Maize) Cercospora Leaf Spot,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma+bio+fungus), Compost Tea (https://www.google.com/search?q=compost+tea+plants)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Pyraclostrobin (https://www.amazon.in/s?k=pyraclostrobin), Propiconazole (https://www.amazon.in/s?k=propiconazole)"
Corn (Maize) Common Rust,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Wettable Sulfur (https://www.amazon.in/s?k=wettable+sulfur)","Propiconazole (https://www.amazon.in/s?k=propiconazole), Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Pyraclostrobin (https://www.amazon.in/s?k=pyraclostrobin), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Corn (Maize) Northern Leaf Blight,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma), Cow Urine Extract (https://www.google.com/search?q=cow+urine+extract+biofungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Propiconazole (https://www.amazon.in/s?k=propiconazole)"
Corn (Maize) Healthy,"—","—"


disease_name,organic_medicines,chemical_medicines
