disease_name,organic_medicines,chemical_medicines
Apple Scab,"Neem oil (https://www.amazon.in/s?k=neem+oil), Sulfur sprays (https://www.amazon.in/s?k=sulfur+fungicide), Copper hydroxide (https://www.amazon.in/s?k=copper+hydroxide), Trichoderma bio-fungicide (https://www.amazon.in/s?k=trichoderma+bio+fungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Captan (https://www.amazon.in/s?k=captan+fungicide), Dithane M-45 (https://www.amazon.in/s?k=dithane+M45)"
Apple Black Rot,"Neem cake (https://www.amazon.in/s?k=neem+cake), Trichoderma viride (https://www.amazon.in/s?k=trichoderma+viride), Compost tea kit (https://www.amazon.in/s?k=compost+tea+kit)","Carbendazim (https://www.amazon.in/s?k=carbendazim), Thiophanate-methyl (https://www.amazon.in/s?k=thiophanate+methyl)"
Apple Cedar Apple Rust,"Neem oil (https://www.amazon.in/s?k=neem+oil), Resistant apple varieties (https://www.amazon.in/s?k=apple+seeds+resistant), Sulfur dust (https://www.amazon.in/s?k=sulfur+dust)","Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Propiconazole (https://www.amazon.in/s?k=propiconazole)"
Apple Healthy,No medicine needed,No medicine needed
Blueberry Healthy,No medicine needed,No medicine needed
Cherry (including sour) Healthy,No medicine needed,No medicine needed
Cherry (including sour) Powdery Mildew,"Neem oil (https://www.amazon.in/s?k=neem+oil), Baking soda spray (https://www.amazon.in/s?k=baking+soda+for+plants), Sulfur dust (https://www.amazon.in/s?k=sulfur+dust)","Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Triadimefon (https://www.amazon.in/s?k=triadimefon)"
Corn (Maize) Cercospora Leaf Spot,"Neem extract (https://www.amazon.in/s?k=neem+extract), Compost tea kit (https://www.amazon.in/s?k=compost+tea+kit), Trichoderma sprays (https://www.amazon.in/s?k=trichoderma+spray)","Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Pyraclostrobin (https://www.amazon.in/s?k=pyraclostrobin)"
Corn (Maize) Common Rust,"Sulfur sprays (https://www.amazon.in/s?k=sulfur+fungicide), Neem formulations (https://www.amazon.in/s?k=neem+formulation)","Propiconazole (https://www.amazon.in/s?k=propiconazole), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Corn (Maize) Healthy,No medicine needed,No medicine needed
Corn (Maize) Northern Leaf Blight,"Neem oil (https://www.amazon.in/s?k=neem+oil), Resistant hybrids (https://www.amazon.in/s?k=maize+seeds+resistant)","Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil)"
Grape Black Rot,"Sulfur dusting (https://www.amazon.in/s?k=sulfur+dust), Neem seed extract (https://www.amazon.in/s?k=neem+seed+extract)","Captan (https://www.amazon.in/s?k=captan+fungicide), Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride)"
Grape Esca (Black Measles),"Trichoderma viride (https://www.amazon.in/s?k=trichoderma+viride), Neem cake (https://www.amazon.in/s?k=neem+cake)","Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Propiconazole (https://www.amazon.in/s?k=propiconazole)"
Grape Healthy,No medicine needed,No medicine needed
Grape Leaf Blight (Isariopsis),"Neem oil (https://www.amazon.in/s?k=neem+oil), Sulfur sprays (https://www.amazon.in/s?k=sulfur+fungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride)"
Orange Huanglongbing (Citrus Greening),"Neem formulations (https://www.amazon.in/s?k=neem+formulation), Parasitoid wasps kit (https://www.amazon.in/s?k=parasitoid+wasps)","Imidacloprid (https://www.amazon.in/s?k=imidacloprid), Thiamethoxam (https://www.amazon.in/s?k=thiamethoxam)"
Peach Bacterial Spot,"Neem oil (https://www.amazon.in/s?k=neem+oil), Compost extracts (https://www.amazon.in/s?k=compost+extracts)","Oxytetracycline (https://www.amazon.in/s?k=oxytetracycline), Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride)"
Peach Healthy,No medicine needed,No medicine needed
Pepper Bell Bacterial Spot,"Neem extract (https://www.amazon.in/s?k=neem+extract), Compost teas (https://www.amazon.in/s?k=compost+tea)","Copper hydroxide (https://www.amazon.in/s?k=copper+hydroxide), Streptomycin (https://www.amazon.in/s?k=streptomycin)"
Pepper Bell Healthy,No medicine needed,No medicine needed
Potato Early Blight,"Neem oil (https://www.amazon.in/s?k=neem+oil), Sulfur sprays (https://www.amazon.in/s?k=sulfur+fungicide), Trichoderma (https://www.amazon.in/s?k=trichoderma)","Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Potato Late Blight,"Neem oil (https://www.amazon.in/s?k=neem+oil), Bordeaux mixture (https://www.amazon.in/s?k=bordeaux+mixture), Compost tea kit (https://www.amazon.in/s?k=compost+tea+kit)","Metalaxyl (https://www.amazon.in/s?k=metalaxyl), Dimethomorph (https://www.amazon.in/s?k=dimethomorph), Cymoxanil (https://www.amazon.in/s?k=cymoxanil)"
Potato Healthy,No medicine needed,No medicine needed
Raspberry Healthy,No medicine needed,No medicine needed
Soybean Healthy,No medicine needed,No medicine needed
